Peak,DNase,RNAPII,H3K4me1,Input
scaffold_1-63,10.78,7.5,4.92,1.4
scaffold_53-1,8.5,26.08,1.56,1.11
scaffold_10-3,10.11,8.15,4.33,1.48
scaffold_7-4,10.11,9.73,3.92,1.47
scaffold_4-11,6.98,9.18,1.28,0.9
scaffold_2-5,9.08,15.49,4.16,1.74
scaffold_9-6,10.12,72.71,2.91,1.78
scaffold_5-3,9.37,13.1,4.97,1.55
scaffold_2-6,10.69,14.02,3.66,1.37
scaffold_1-69,9.09,7.55,4.63,1.29
scaffold_7-8,10.2,21.68,1.96,1.64
scaffold_7-9,9.4,15.98,4.97,1.42
scaffold_8-13,10.07,22.44,2.25,1.67
scaffold_3-6,8.36,16.52,7.79,1.55
scaffold_7-10,8.55,57.33,2.67,1.79
scaffold_870-1,8.34,2.17,3.24,1.57
scaffold_8b-1,10,7.28,5.43,1.44
scaffold_7-11,8.85,34.89,3.52,1.54
scaffold_1-70,10.62,86.51,1.5,1.86
scaffold_9-8,8.23,11.57,5.24,1.37
scaffold_3-8,9.97,20,2.7,1.88
scaffold_10-4,8.8,11.95,2.2,1.49
scaffold_7-13,8.17,15.22,5.28,1.48
scaffold_1-73,10.47,27.39,4.28,1.45
scaffold_1-72,8.07,9.89,3.89,1.54
scaffold_7-15,9.46,25,3.89,1.78
scaffold_3-9,10.25,66.57,2.32,1.75
scaffold_2-7,11.07,15.32,4.47,1.37
scaffold_5-4,8.7,17.99,2.58,1.73
scaffold_8-16,8.46,8.59,4.18,1.45
scaffold_7-17,9.35,8.97,4.24,1.32
scaffold_3-10,9.5,36.46,2.77,1.61
scaffold_8-18,9.24,10.27,3.68,1.38
scaffold_4-16,9.23,6.47,5.63,1.44
scaffold_6-16,9.37,15.49,3.72,1.24
scaffold_5-6,10.01,23.15,2.83,1.45
scaffold_8-17,8.73,8.8,6.86,1.55
scaffold_5-5,9.91,14.07,2.89,1.6
scaffold_7-18,9,8.91,5.26,1.67
scaffold_10-6,8.41,5.22,7.24,1.4
scaffold_4-17,9.34,34.56,5.57,1.77
scaffold_2-9,8.66,26.57,7.02,1.63
scaffold_8-21,8.96,6.85,4.76,1.44
scaffold_2-10,8.74,8.15,5.04,1.31
scaffold_3-11,8.81,12.88,4.09,1.39
scaffold_1-77,8.46,11.52,1.43,1.58
scaffold_5-7,7.59,5,5.24,1.4
scaffold_6-17,8.77,7.5,4.23,1.62
scaffold_1-75,9.53,19.07,1.2,1.72
scaffold_2-11,8.92,58.96,3.11,1.76
scaffold_7-21,8.4,35.21,3.64,1.68
scaffold_9-9,7.08,6.09,2.94,1.08
scaffold_2-12,9.28,24.45,3.74,1.67
scaffold_1-79,8.54,39.45,3.32,1.7
scaffold_1-81,8.56,23.69,3.23,1.76
scaffold_6-19,7.39,9.94,5.92,1.64
scaffold_6-20,7.67,13.42,6.58,1.69
scaffold_4-19,7.26,6.09,5.66,1.43
scaffold_6-18,8.81,7.55,4.16,1.14
scaffold_3-12,7.87,6.19,2.39,1.63
scaffold_8-23,8.97,40.1,2.27,1.39
scaffold_2-15,9.54,23.69,2.71,1.68
scaffold_6-21,8.85,16.14,4.85,1.48
scaffold_25-1,8.61,52.71,1.51,1.55
scaffold_3-13,8.05,25.81,6.66,1.45
scaffold_4-21,7.18,8.37,2.43,1.47
scaffold_99-1,8.26,77.82,1.27,1.65
scaffold_1-82,7.72,5.49,4.98,1.31
scaffold_6-22,8.42,6.68,4.82,1.26
scaffold_2-17,9.38,6.3,4.67,1.62
scaffold_6-24,8.86,2.61,1.9,1.68
scaffold_5-8,8.2,22.93,3.18,1.84
scaffold_6-23,8.09,6.68,4.47,1.29
scaffold_5-9,6.87,5.76,3.47,1.26
scaffold_2-16,8.58,28.69,4.57,1.22
scaffold_3-15,7.7,15.7,5.34,1.3
scaffold_3-16,7.38,8.86,2.33,1.44
scaffold_8-25,9.83,10.76,3.16,1.24
scaffold_8-24,7.53,17.66,3.59,1.47
scaffold_151-1,8.68,21.14,1.75,1.79
scaffold_4-23,7.86,34.02,1.63,1
scaffold_1-83,8.32,26.74,1.75,1.73
scaffold_2-18,8.67,21.57,3.37,1.42
scaffold_6-27,7.88,8.21,4.32,1.47
scaffold_4-26,7.84,28.37,5.96,1.54
scaffold_6-26,7.44,2.55,4.28,1.64
scaffold_4-25,7.43,9.62,2.8,1.66
scaffold_5-11,7.87,7.01,4.3,1.54
scaffold_9-12,7.75,7.83,4.98,1.66
scaffold_5-12,8.38,6.85,6.49,1.42
scaffold_2-20,7.81,12.28,5.16,1.35
scaffold_3-18,8.08,27.99,4.05,1.7
scaffold_3-17,7.5,2.93,4.2,1.49
scaffold_4-24,6.67,6.9,5.05,1.03
scaffold_6-28,7.38,15.54,3.46,1.66
scaffold_2-21,8.13,15.98,1.93,1.83
scaffold_7-23,8.21,48.15,3.46,1.37
scaffold_2-22,8.1,8.21,3.59,1.53
scaffold_1-86,6.6,9.24,1.77,1.1
scaffold_2-23,6.98,3.7,3.24,1.11
scaffold_9-13,7.8,32.39,2.65,1.75
scaffold_4-28,7.77,6.68,8.64,1.52
scaffold_6-29,7.29,20.05,4.23,1.34
scaffold_2-24,7.73,36.41,2.83,1.59
scaffold_7-25,8.17,25.16,2.83,1.61
scaffold_2-25,8.03,10.11,4.45,1.52
scaffold_7-26,6.48,5.33,2.41,0.83
scaffold_6-31,7.06,6.41,5.79,1.23
scaffold_6-30,7.2,14.94,2.16,1.48
scaffold_8-27,6.68,3.75,6.67,1.59
scaffold_10-11,6.72,4.78,4.64,1.29
scaffold_1-88,7.97,9.89,7.36,1.59
scaffold_5-13,7.68,19.67,2.22,1.75
scaffold_3-22,9,11.03,4.63,1.66
scaffold_7-27,7.02,1.03,3.14,1.54
scaffold_1-90,8.96,19.51,1.77,1.56
scaffold_3-19,8.57,11.68,1.97,1.67
scaffold_1-89,7.38,39.99,2.14,1.5
scaffold_3-21,6.67,4.08,3.43,0.95
scaffold_10-12,7.71,49.67,5.24,1.47
scaffold_1-91,6.66,3.64,5.4,1.23
scaffold_1-92,7.54,17.61,4.84,1.35
scaffold_8-28,7.63,8.1,3.66,1.31
scaffold_6-35,7.3,9.29,4.88,1.6
scaffold_3-23,7.74,37.44,3.42,1.51
scaffold_9-14,6.09,5.71,3.13,0.91
scaffold_3-20,7.56,15.32,1.96,1.67
scaffold_8-29,7,9.13,5.63,1.48
scaffold_2-26,7.88,22.88,2.26,1.56
scaffold_1385-1,6.09,5.76,4.16,0.95
scaffold_4-34,7.09,14.24,2.07,1.69
scaffold_2-27,7.5,29.72,2.9,1.62
scaffold_4-35,6.49,7.23,3.57,1.73
scaffold_5-15,7.18,6.85,4.26,1.31
scaffold_9-15,6.57,15.92,2.12,1.46
scaffold_2-28,6.84,6.36,3.99,0.93
scaffold_4-36,6.99,14.84,4.53,1.35
scaffold_1-95,7.68,17.39,5.28,1.5
scaffold_7-29,7.4,6.68,5.65,1.3
scaffold_3-24,7.04,11.68,3.65,1.19
scaffold_1-96,6.79,9.62,3.17,1.74
scaffold_6-36,7.11,4.73,3.99,1.68
scaffold_2-31,8.82,73.9,2.09,1.85
scaffold_2-32,6.81,9.29,5.46,1.68
scaffold_2-30,7.28,23.96,2.22,1.73
scaffold_6-37,8.34,9.35,6.79,1.67
scaffold_8-31,7.97,33.85,2.25,1.8
scaffold_2-34,7.02,7.88,2.77,1.72
scaffold_2-33,8.49,8.15,4.51,1.58
scaffold_1-97,6.92,10.32,5.32,1.35
scaffold_6-38,8.26,30.81,6.87,1.47
scaffold_4-41,7.58,16.41,5.98,1.42
scaffold_4-40,7.98,9.94,2.54,1.71
scaffold_2-35,7.7,10.16,5.68,1.38
scaffold_411-1,6.49,7.61,3.35,1.63
scaffold_9-16,7.1,7.5,4.24,1.08
scaffold_4-39,7.71,31.68,4.81,1.29
scaffold_5-17,7.34,30.1,3.23,1.41
scaffold_3-25,8.2,12.17,3.47,1.71
scaffold_1-99,7.03,12.17,3.68,1.47
scaffold_7-33,7.7,75.15,3.28,1.69
scaffold_5-16,6.36,5.27,3.24,1.17
scaffold_4-44,6.01,20.32,4.17,0.96
scaffold_6-40,8.13,29.24,2.3,1.51
scaffold_5298-1,6.81,8.26,2.13,1.46
scaffold_7-30,7.26,5.87,4.95,1.34
scaffold_232-1,7.04,54.56,2.77,1.27
scaffold_9-17,6.57,6.19,5.92,1.45
scaffold_4-42,8.72,46.9,2.19,1.73
scaffold_7-34,6.73,17.01,4.09,1.37
scaffold_1-102,7.28,43.85,3.28,1.46
scaffold_7-31,7.71,11.25,1.83,1.54
scaffold_4-43,9.38,41.52,1.57,1.76
scaffold_2-36,7.71,10.16,4.47,1.26
scaffold_10-15,7.46,16.68,2.37,1.67
scaffold_1-100,6.42,10.27,3.41,1.11
scaffold_8-32,7.14,3.75,5.02,1.29
scaffold_308-1,5.78,1.58,1.5,1.06
scaffold_7-35,7.27,11.68,7.68,1.4
scaffold_25-2,7.32,19.07,6.58,1.39
scaffold_5-20,7.93,6.25,2.25,1.51
scaffold_2-37,6.84,5.98,4.86,1.44
scaffold_8-33,6.93,5.33,8.51,1.52
scaffold_6-41,7.42,7.66,6.18,1.51
scaffold_5-19,6.9,4.29,3.66,1.02
scaffold_6-42,7.22,3.91,3.37,1.42
scaffold_4-46,6.69,6.96,3.59,1.66
scaffold_7-36,7.87,13.91,5.31,1.43
scaffold_7-38,6.25,7.39,4.68,1.55
scaffold_8-34,8.51,10.81,3.23,1.6
scaffold_4-51,6.12,5.43,2.41,1.18
scaffold_4-50,8.17,15.16,2.04,1.69
scaffold_4-47,6.3,7.28,3.65,1.26
scaffold_6-44,6.44,5.87,4.9,1
scaffold_4-48,7.7,24.13,2.58,1.63
scaffold_2-41,7.94,28.75,4.64,1.69
scaffold_7-39,6.85,5.05,4.62,1.39
scaffold_5-24,7.99,9.67,5.55,1.61
scaffold_6-43,6.93,2.83,2.9,1.59
scaffold_1-104,6.89,19.24,4.65,1.5
scaffold_8-36,7.52,67.6,1.84,1.37
scaffold_2-42,7.13,26.25,2.91,1.6
scaffold_10-17,6.91,5.16,1.31,1.23
scaffold_9-18,7.23,18.26,2.6,1.7
scaffold_9-19,7.29,13.26,1.87,1.51
scaffold_4-49,6.96,17.99,1.97,1.46
scaffold_5-25,7.27,8.21,4.07,1.27
scaffold_8-38,6.73,5.05,6.08,1.33
scaffold_2-43,8.32,87.05,1.4,1.5
scaffold_6-46,6.45,84.77,2.41,1.22
scaffold_7-40,7.87,22.93,4.32,1.61
scaffold_4-52,6.49,7.66,4.82,1.28
scaffold_7-42,7.48,12.06,2.47,1.75
scaffold_6-48,7.07,36.08,2.08,1.5
scaffold_9-21,6.88,25.59,1.11,1.57
scaffold_3-27,6.82,11.03,5.32,1.56
scaffold_6-47,8.02,14.51,5.31,1.77
scaffold_2-45,6.91,20.6,3.12,1.45
scaffold_2-46,6.54,6.03,4.2,1.33
scaffold_10-19,7.09,9.89,3.39,1.72
scaffold_5-26,7.01,7.17,5.03,1.18
scaffold_83-1,7.23,5.6,5.61,1.42
scaffold_4-54,5.43,4.29,2.37,0.86
scaffold_7-41,7.12,10.32,2.8,1.66
scaffold_4-55,6.51,4.13,6.06,1.4
scaffold_5-29,7.02,5.54,7.17,1.5
scaffold_9-23,6.27,4.78,6.08,1.45
scaffold_207-1,6.67,11.9,3.95,1.72
scaffold_7-43,6.62,12.01,2.42,1.55
scaffold_3-28,6.86,8.64,2.42,1.37
scaffold_8-40,6.86,7.99,4.1,1.17
scaffold_9-22,6.65,18.58,1.8,1.09
scaffold_5-28,6.84,4.08,4.76,1.2
scaffold_10-18,7.09,6.36,3.05,1.52
scaffold_10-20,5.94,2.55,3.1,1.25
scaffold_173-2,7.7,10.65,6.79,1.9
scaffold_3-26,7.5,18.04,3.22,1.51
scaffold_4-53,8.22,89.61,1.44,1.85
scaffold_7-45,6.09,5.71,4.97,1.33
scaffold_4-59,7.52,10.27,6.07,1.41
scaffold_5-27,6.48,5.54,5.14,1.43
scaffold_2-48,6.89,12.28,4.35,1.29
scaffold_1-108,7.27,9.62,6.05,1.45
scaffold_8-39,7.2,10.16,2.41,1.5
scaffold_2-50,7.21,6.09,5.2,1.39
scaffold_4-61,6.68,18.37,3.92,1.45
scaffold_7-46,7.46,4.35,4.13,1.63
scaffold_2-51,7.4,52.38,2.03,1.53
scaffold_8b-3,7.28,8.53,1.57,1.56
scaffold_10-21,6.76,4.84,5.01,1.36
scaffold_4-62,6.61,4.56,3.12,1.59
scaffold_9-27,8.25,29.56,3.86,1.53
scaffold_1-112,6.03,10.27,2.77,1.11
scaffold_3-30,6.6,4.67,5.01,1.61
scaffold_2-49,7.72,5.16,4.9,1.35
scaffold_1-113,6.53,5.05,1.85,1.49
scaffold_6-49,6.91,7.61,3.32,1.75
scaffold_2-47,6.23,41.79,1.04,1.38
scaffold_6-50,7.42,62.27,1.87,1.7
scaffold_2-55,7.86,28.69,3.77,1.68
scaffold_9-24,7.22,9.18,3.01,1.8
scaffold_6-51,6.58,16.63,2.99,0.91
scaffold_492-1,7.1,6.14,2.77,1.45
scaffold_2-54,7.33,10.11,4.13,1.33
scaffold_1-111,6.29,6.74,5.6,1.61
scaffold_5-31,6.92,4.95,3.16,1.18
scaffold_6-52,7.45,7.17,1.51,1.46
scaffold_9-25,6.74,15.05,2.14,1.59
scaffold_3-29,6.63,27.82,1.48,1.35
scaffold_2-53,7.23,36.73,2.53,1.72
scaffold_237-1,6.14,6.52,2.29,0.96
scaffold_1-109,8.11,34.51,4.87,1.65
scaffold_1-116,7.53,6.96,3.52,1.3
scaffold_5-30,6.76,4.78,5.85,1.5
scaffold_8-41,6.91,8.64,5.97,1.35
scaffold_7-48,6.83,5.65,3.92,1.42
scaffold_4-65,7.06,30.16,3.08,1.69
scaffold_7-47,6.47,29.67,3.53,1.37
