SampleID,Tissue,Factor,Condition,Treatment,Replicate,bamReads,ControlID,bamControl,Peaks,PeakCaller
bcat_st6,xenTro_st6,b-catenin,wild-type,none,1,bcat_st6_xt71.bam,Input,input_st6to20_xt71.bam,./xenTro71/supplementary_files/tf_top2K_peakScoreMin20.bed,bed
VegT_st8,xenTro_st8,mVegT,wild-type,none,1,vegT_st7_xt71.bam,Input,input_st6to20_xt71.bam,./xenTro71/supplementary_files/tf_top2K_peakScoreMin20.bed,bed
Sox3_st8,xenTro_st8,Sox3,wild-type,none,1,sox3_st8_xt71.bam,Input,input_st6to20_xt71.bam,./xenTro71/supplementary_files/tf_top2K_peakScoreMin20.bed,bed
Foxh1_st8,xenTro_st8,Foxh1,wild-type,none,1,foxh1_st8_xt71.bam,Input,input_st6to20_xt71.bam,./xenTro71/supplementary_files/tf_top2K_peakScoreMin20.bed,bed
bcat_st8,xenTro_st8,b-catenin,wild-type,none,1,bcat_st8_xt71.bam,Input,input_st6to20_xt71.bam,./xenTro71/supplementary_files/tf_top2K_peakScoreMin20.bed,bed
Smad2_st8,xenTro_st8,Smad2,wild-type,none,1,smad2_st8_xt71.bam,Input,input_st6to20_xt71.bam,./xenTro71/supplementary_files/tf_top2K_peakScoreMin20.bed,bed
Smad1_st8p,xenTro_st8p,Smad1,wild-type,none,1,smad1_st8p_xt71.bam,Input,input_st6to20_xt71.bam,./xenTro71/supplementary_files/tf_top2K_peakScoreMin20.bed,bed
Sox3_st10p,xenTro_st10p,Sox3,wild-type,none,1,sox3_st10p_xt71.bam,Input,input_st6to20_xt71.bam,./xenTro71/supplementary_files/tf_top2K_peakScoreMin20.bed,bed
bcat_st10p,xenTro_st10p,b-catenin,wild-type,none,1,bcat_st10p_xt71.bam,Input,input_st6to20_xt71.bam,./xenTro71/supplementary_files/tf_top2K_peakScoreMin20.bed,bed
Foxh1_st10p,xenTro_st10p,Foxh1,wild-type,none,1,foxh1_st10p_xt71.bam,Input,input_st6to20_xt71.bam,./xenTro71/supplementary_files/tf_top2K_peakScoreMin20.bed,bed
Smad2_st10p,xenTro_st10p,Smad2,wild-type,none,1,smad2_st10p_xt71.bam,Input,input_st6to20_xt71.bam,./xenTro71/supplementary_files/tf_top2K_peakScoreMin20.bed,bed
Smad1_st10p,xenTro_st10p,Smad1,wild-type,none,1,smad1_st10p_xt71.bam,Input,input_st6to20_xt71.bam,./xenTro71/supplementary_files/tf_top2K_peakScoreMin20.bed,bed
Eomes_st12p,xenTro_st12p,Eomes,wild-type,none,1,eomes_st12p_xt71.bam,Input,input_st6to20_xt71.bam,./xenTro71/supplementary_files/tf_top2K_peakScoreMin20.bed,bed
VegT_st12p,xenTro_st12p,zVegT,wild-type,none,1,vegT_st12p_xt71.bam,Input,input_st6to20_xt71.bam,./xenTro71/supplementary_files/tf_top2K_peakScoreMin20.bed,bed
Xbra_st12p,xenTro_st12p,Xbra,wild-type,none,1,xbra_st12p_xt71.bam,Input,input_st6to20_xt71.bam,./xenTro71/supplementary_files/tf_top2K_peakScoreMin20.bed,bed
Sox3_st12p,xenTro_st12p,Sox3,wild-type,none,1,sox3_st12p_xt71.bam,Input,input_st6to20_xt71.bam,./xenTro71/supplementary_files/tf_top2K_peakScoreMin20.bed,bed
Xbra_st20,xenTro_st20,Xbra,wild-type,none,1,xbra_st20_xt71.bam,Input,input_st6to20_xt71.bam,./xenTro71/supplementary_files/tf_top2K_peakScoreMin20.bed,bed
Tbx6_st20,xenTro_st20,Tbx6,wild-type,none,1,tbx6_st20_xt71.bam,Input,input_st6to20_xt71.bam,./xenTro71/supplementary_files/tf_top2K_peakScoreMin20.bed,bed
