,bcat_st6,bcat_st8,VegT_st8,Foxh1_st8,Smad2_st8,Sox3_st8,Smad1_st8p,Foxh1_st10p,Smad2_st10p,Smad1_st10p,bcat_st10p,Sox3_st10p,Sox3_st12p,Eomes_st12p,VegT_st12p,Xbra_st12p,Xbra_st20,Tbx6_st20
bcat_st6,1,0.14,0.15,0.086,0.027,0.0068,-0.085,-0.11,-0.099,-0.094,-0.1,-0.099,-0.14,-0.09,-0.097,-0.12,-0.11,-0.099
bcat_st8,0.14,1,0.32,0.32,0.25,0.23,0.054,-0.036,0.0026,-0.016,0.0025,0.0064,-0.087,-0.071,-0.077,-0.16,-0.19,-0.18
VegT_st8,0.15,0.32,1,0.58,0.41,0.36,0.063,-0.039,-0.076,-0.1,-0.12,-0.059,-0.23,-0.05,-0.06,-0.3,-0.42,-0.28
Foxh1_st8,0.086,0.32,0.58,1,0.71,0.71,0.34,0.22,0.17,0.12,0.04,0.19,-0.01,-0.13,-0.18,-0.35,-0.46,-0.49
Smad2_st8,0.027,0.25,0.41,0.71,1,0.75,0.64,0.44,0.47,0.41,0.32,0.43,0.24,0.022,-0.013,-0.19,-0.34,-0.38
Sox3_st8,0.0068,0.23,0.36,0.71,0.75,1,0.66,0.41,0.44,0.47,0.39,0.66,0.48,0.042,-0.015,-0.23,-0.39,-0.49
Smad1_st8p,-0.085,0.054,0.063,0.34,0.64,0.66,1,0.72,0.81,0.81,0.74,0.79,0.69,0.4,0.38,0.16,-0.077,-0.19
Foxh1_st10p,-0.11,-0.036,-0.039,0.22,0.44,0.41,0.72,1,0.74,0.68,0.67,0.62,0.59,0.47,0.45,0.32,0.11,-0.0066
Smad2_st10p,-0.099,0.0026,-0.076,0.17,0.47,0.44,0.81,0.74,1,0.82,0.83,0.75,0.71,0.59,0.56,0.35,0.091,-0.057
Smad1_st10p,-0.094,-0.016,-0.1,0.12,0.41,0.47,0.81,0.68,0.82,1,0.81,0.78,0.75,0.51,0.5,0.31,0.076,-0.06
bcat_st10p,-0.1,0.0025,-0.12,0.04,0.32,0.39,0.74,0.67,0.83,0.81,1,0.8,0.81,0.66,0.64,0.42,0.15,-0.0018
Sox3_st10p,-0.099,0.0064,-0.059,0.19,0.43,0.66,0.79,0.62,0.75,0.78,0.8,1,0.88,0.46,0.43,0.22,-0.006,-0.17
Sox3_st12p,-0.14,-0.087,-0.23,-0.01,0.24,0.48,0.69,0.59,0.71,0.75,0.81,0.88,1,0.56,0.54,0.39,0.18,-0.018
Eomes_st12p,-0.09,-0.071,-0.05,-0.13,0.022,0.042,0.4,0.47,0.59,0.51,0.66,0.46,0.56,1,0.85,0.68,0.39,0.24
VegT_st12p,-0.097,-0.077,-0.06,-0.18,-0.013,-0.015,0.38,0.45,0.56,0.5,0.64,0.43,0.54,0.85,1,0.78,0.51,0.4
Xbra_st12p,-0.12,-0.16,-0.3,-0.35,-0.19,-0.23,0.16,0.32,0.35,0.31,0.42,0.22,0.39,0.68,0.78,1,0.78,0.55
Xbra_st20,-0.11,-0.19,-0.42,-0.46,-0.34,-0.39,-0.077,0.11,0.091,0.076,0.15,-0.006,0.18,0.39,0.51,0.78,1,0.69
Tbx6_st20,-0.099,-0.18,-0.28,-0.49,-0.38,-0.49,-0.19,-0.0066,-0.057,-0.06,-0.0018,-0.17,-0.018,0.24,0.4,0.55,0.69,1
