Chr,Start,End,Conc,Conc_mPSkd,Conc_none,Fold,p-value,FDR,capC_mPS_LOF_st8p_1,capC_mPS_LOF_st8p_2,capC_mPS_LOF_st8p_3,capC_ctrl_st8p_1,capC_ctrl_st8p_2,capC_ctrl_st8p_3
scaffold_5,12344800,12346000,4.97,4.18,5.48,-1.3,0.00262,0.999,18.78,10.52,25,33.2,27.8,72.76
scaffold_3,21372700,21373900,2.71,2.06,3.16,-1.11,0.0917,0.999,4.6,2.87,5,7.79,4.84,14.25
scaffold_5,12346866,12348066,5.64,5.11,6.02,-0.91,0.111,0.999,31.04,20.57,52,45.32,41.91,107.86
scaffold_3,22513423,22515493,0.8,-0.42,1.45,-1.87,0.126,0.999,0.77,0.48,1,1.73,1.9,4.58
scaffold_6,59750705,59751905,3.71,4.01,3.33,0.67,0.127,0.999,20.31,11,17,10.1,9.48,10.68
scaffold_5,72136194,72137394,2.5,1.87,2.94,-1.07,0.137,0.999,4.6,3.35,3,6.64,4.63,11.7
scaffold_9,57239978,57241178,2.44,2.89,1.77,1.13,0.145,0.999,3.45,3.83,15,2.89,2.74,4.58
scaffold_9,20757378,20758578,8.04,8.34,7.65,0.7,0.145,0.999,201.19,258.75,514,165.11,134.78,301.21
scaffold_1,89416587,89417787,1.37,0.44,1.93,-1.5,0.16,0.999,1.15,1.91,1,2.02,2.32,7.12
scaffold_9,56218679,56219879,1.15,0.18,1.72,-1.54,0.182,0.999,1.92,0.48,1,2.6,1.68,5.6
scaffold_6,59768691,59769891,6.21,5.93,6.44,-0.51,0.187,0.999,57.1,51.18,75,68.12,57.28,135.34
scaffold_1,87642735,87645122,0.69,-0.42,1.31,-1.73,0.188,0.999,0.77,0.48,1,0.87,1.47,5.09
scaffold_9,23296783,23297983,0.66,1.25,-0.38,1.63,0.192,0.999,0.77,2.39,4,0.87,0.42,1.02
scaffold_5,72008103,72009303,4.15,3.86,4.4,-0.54,0.197,0.999,13.03,13.39,17,18.76,14.95,29.51
scaffold_9,20754379,20755579,6.37,6.09,6.61,-0.52,0.2,0.999,55.57,51.18,97,72.74,67.18,152.13
scaffold_1,61766370,61767570,5.64,5.39,5.86,-0.47,0.205,0.999,45.6,33.96,46,44.45,41.49,88.02
scaffold_9,7484506,7485706,1.7,1.02,2.16,-1.14,0.209,0.999,2.68,2.39,1,5.77,3.58,4.07
scaffold_5,10692810,10694010,7.31,7.56,7,0.55,0.215,0.999,146.01,147.79,271,110.56,77.5,196.9
